abyss
allpaths-lg
aragorn
atram
bedtools
blasr
blast
blobology
bowtie
bowtie2
bwa
cegma
cgap
clustal-w
consed
exonerate
fasta
genometools
glimmerhmm
gmap-gsnap
hmmer
hmmer2
idba
igv
infernal
jellyfish-1.1
jellyfish
kmergenie
kmerstream
last
maker
masurca
metamos
mummer
musket
operasf
pbsuite
phlawd
platanus
prodigal
prokka
quake
quast
recon
repeatscout
sailfish
samtools
scarpa
sga
smrtanalysis
snap
snoscan
sopra
spades
stacks
t-coffee
trans-abyss
trf
trnascan
ucsc-genome-browser
uniqtag
